barcode;amount 
48195867349;3
31685751833;5
78778135920;10
97401573093;13
44052912346;7
90510227427;9
58892193474;1
10591847069;18
89012159942;11
63819360901;10
86155092853;9
64718572908;9
91478316416;3
55624870755;10
31928707586;19
25751056281;3
12429871019;6
44634808465;15
92313908410;14
16782960800;10
87546923093;11
95981799201;14
42075749327;17
68378792986;6
66439973565;4
84564017552;11
99258643933;2
39651008714;10
57442350118;3
89446504640;1
12373221928;5
99037978779;3
60038075490;7
77878789764;6
59432225230;10
93421294987;6
93970728278;19
42514106774;18
44297229120;9
64170756061;10
21180266210;2
22266509503;14
80714109262;20
55150032702;13
57015295086;3
49904213833;8
21986469301;7
43713409339;10
44848942163;3
17675942863;8
79245647938;18
42075749327;17
66522374708;2
49256462203;1
63985939736;18
86015722108;19
99035181014;7
29491189313;4
68604322995;3
48168922869;13
79205756095;6
62834287888;10
72174123016;2
94518200175;5
55054465503;7
26422308770;12
80787169148;2
26249925105;4
19806218304;3
63525234454;3
64572038382;10
70366784809;11
75568516076;8
86457669877;10
67474055529;8
60331200533;8
67347561409;21
86439881062;9
85986865665;4
93680433213;3
65690412488;12
29491189313;4
14033308034;3
71193673814;6
22822092850;11
29092181368;9
79542935371;7
81034332302;9
52219822998;5
55700891340;3
88776201237;12
11595422999;8
91433001332;17
94750386764;3
89446589850;9
81279145481;14
19090376459;7
71131395632;10
70433278304;5
62967005013;10
59636030891;14
11056915800;3
57846399354;18
92069272405;7
45163075642;6
71320882808;2
31523689940;15
39569827068;10
55549049886;7
36487300281;17
66385382456;7
91420578236;3
68894332385;7
56822188537;9
93561569913;6
23587051543;1
54578295291;12
94604333572;8
47465179230;13
88164837998;6
75862695198;12
79205756095;6
66545921160;24
78667719445;11
34366911555;6
44471149041;12
47591205780;20
42414069078;12
41624334675;18
12241698190;9
61858306408;9
41695336166;18
66364527925;4
85819386954;11
76525421950;10
34496362560;4
29301776884;3
25360778550;1
36314732158;13
54469694143;8
82187642713;10
95054068645;9
97827943964;15
25713464655;9
24071057671;2
35267564916;2
83999906281;6
23609657808;13
74216192742;4
68388963757;4
95007155832;9
30293507239;7
42881676401;17
14327109886;8
84046408607;9
65766881594;24
23921305232;5
25926186729;7
43517876517;7
33470792748;5
42430399636;12
14892873434;5
66593581423;7
69727737245;1
73591252732;1
20541059595;14
28414340659;2
92494577724;8
61905167697;5
38819034559;12
95911709038;15
68572493293;3
24154850894;7
57106484903;9
96075031427;5
40563085708;9
37816384138;9
16745654801;5
14536438848;15
71855582795;6
62974550972;7
75243734766;1
61509946819;1
76468807075;3
96409835232;13
68303302736;19
50835873304;4
41612004899;11
28952727659;7
98478047504;2
72674184209;7
75550157252;10
65225606246;9
39591874492;5
67157084572;20
57846399354;18
63839799552;4
91601336496;13
74715714253;16
82615737856;6
80295899323;2
11314477547;4
85690678454;12
93081453007;13
39783150523;14
30459475915;3
23649157038;9
20812731555;3
88947272263;3
93206688551;4
89968249947;12
78988775199;2
59146861686;11
45293793091;10
29948017865;12
59240390121;9
74456399122;9
83174121124;10
14153379267;7
17030466567;3
64848830792;6
68572746704;9
69469425228;2
78618764965;8
28110313327;10
51078354965;17
19683027589;2
41233341074;9
80757832943;4
48361005936;9
27738107131;13
65070756696;13
59020944808;3
16362615737;6
75098657759;11
62333390421;13
86741031933;10
49292234645;7
41767761095;9
23032790051;8
29968857988;18
12193189607;2
21515857551;4
60056240211;7
98358414673;8
90530328146;6
16649369492;9
71971444871;2
71447330342;9
13567942298;5
13506935826;9
74605522683;10
94196881473;21
20709274701;8
67871027179;17
22495809106;20
43635290508;9
74682673318;15
82431552812;7
38886242284;6
41392173486;10
90757782167;9
78038899067;9
87717608991;4
89884370430;4
33376378446;8
21544730236;4
76722869726;10
65557643812;7
25351947671;6
79492959382;4
79357966578;2
96574588830;6
54240901669;6
34308039275;4
61725523812;6
92435563281;20
45013305050;3
27212227292;8
78908848542;8
64587712668;12
93629376148;9
93868087173;7
71352078145;14
49657807958;5
55457675636;19
14692367451;9
21872339837;16
27243226475;6
97564875374;17
89775443699;9
70415828378;2
22752535977;8
95920146701;3
97187492641;5
44361793082;10
76406140629;10
13616793291;12
41431124319;19
44770448343;2
56119611928;6
50000398936;3
48543740989;11
76578201816;12
71146254202;18
40367785014;19
87945380656;15
74317820456;2
27746283764;4
26030610508;8
82462593519;1
59659117884;1
85212488407;13
38065747044;4
22822092850;11
42686934527;2
64195365029;7
85690678454;12
53433685991;7
26729173403;17
52477650054;3
91157944737;14
44537155162;6
74351159483;9
95834220547;2
64218808820;8
50792376079;1
93281943856;8
22714265060;4
73967008589;13
44872672762;7
65778143742;12
12408754490;9
19142479292;8
96599500275;15
93379933341;10
37168653211;4
75386864548;1
22962092284;19
40453512411;1
79399855290;6
36891952338;3
79732969788;9
36716687261;7
21363487675;2
11176671679;12
12864087777;4
67401673380;3
55684135847;1
90661585586;12
13845715462;7
74761153735;12
37333007677;3
97800570408;6
20027788119;17
22639547374;3
88973370899;24
11853189233;8
12661391903;10
52110669143;28
42160587776;10
13370206181;8
15410179346;3
68486748335;10
10716513231;18
13102832400;13
41777482173;8
58147453254;12
62974550972;7
99119362904;10
61068115347;6
94232837443;4
88344845253;14
97430765105;20
48911471891;16
66049841263;16
76277939598;7
91527252394;3
20630659032;17
20643716154;12
75866262911;13
99795423952;10
66979560147;14
20879419040;7
30448207915;5
88145406696;5
48772829459;7
78022214723;3
13579750909;13
42079456512;9
84133957229;3
33225728881;7
59480672128;5
69449642724;3
74412492692;6
83411466670;4
91054929202;17
19974541004;9
22294311497;3
45032127460;8
14584657364;7
42330947568;4
32815928430;17
52477367830;9
40269811674;20
31947203734;2
55742603033;13
81434253625;8
29683031903;26
28378000646;1
96377836945;8
19662027208;4
26713774326;10
19336462769;13
27308926428;2
77155458471;10
29082219128;4
44991754816;11
45289729490;6
51670781867;5
88947272263;3
47480327055;26
49501773051;15
61847452652;9
15241653619;11
69745275059;10
86076815118;6
36502765794;6
30687532436;4
65276624549;5
81279145481;14
82860725011;7
59691796810;12
22711288220;2
14471216019;6
98047110808;3
59691796810;12
52865557783;7
19433801759;6
77024443980;6
49735406963;4
78788786633;11
33814102057;16
27043639557;7
25731302933;8
54980524983;8
16058313261;2
69931786873;7
80159773961;14
85193719991;4
32333260547;9
63488585566;5
85463688939;14
98906334636;4
29324944056;4
90794857380;25
57336348773;4
61090102118;10
37276768541;2
21900036237;14
59337202775;5
61900986491;3
30572444449;2
52245857971;5
20493332458;10
19173894824;2
66917169242;4
44848942163;3
68662192879;9
86548131070;10
51822798006;7
76973754155;8
52179494667;16
90558401085;6
47061967639;8
55515475641;4
19678120322;9
34794694762;6
77486820204;5
85666190899;7
50940322870;16
91157944737;14
17880804650;18
41867303317;16
71434744227;8
18426968150;8
18923849768;4
56893605527;7
68303102319;7
59134854360;16
84489301652;9
14097862103;5
34108187121;2
69743210346;3
22069382537;17
86741031933;10
80569138598;17
44829064448;2
30260331211;13
27426618776;10
22158804501;7
48562023829;5
68501951509;23
47465179230;13
99507323023;1
94891187327;22
40831041656;7
81757843023;15
63003424546;2
27310737693;1
86820555830;8
66911818766;5
86937819903;6
53114690443;6
63557045493;12
14773511641;14
30086171120;4
26357464849;12
51366086414;4
79295260650;10
73857734751;14
89682950412;4
29279475778;6
18592327453;7
30851306057;2
84994668235;2
83784346375;10
33100358034;5
16524766071;12
45859484489;11
77772533527;10
59735307554;16
26357464849;12
40113680616;7
82431552812;7
15947222086;6
89370668960;6
16380975381;1
50439559108;4
60125577178;3
54648466303;7
41241842210;2
93417090404;10
24025192621;11
95911709038;15
52514531132;3
51209271426;9
49210881653;7
76633306091;12
66545921160;24
68960944045;2
31794292708;9
40269811674;20
38114229805;7
70528789697;3
61760839612;19
65734969352;10
60301185467;8
22495809106;20
28174244985;2
97168853730;8
32679484767;13
99606133093;6
64316876652;7
42800706279;6
66338035006;17
75221578552;5
81493746891;2
18216935453;9
44342756043;12
62672049253;6
55242641638;7
28852531051;4
11280687530;9
68862442375;4
31863316994;10
59482781769;6
75526562396;6
90016586510;5
70578638931;4
23267213154;10
67701113209;1
73071577649;9
74682673318;15
41545722666;8
58825872377;23
39830054513;8
52911083882;3
62513541503;7
94880531051;9
80757847115;4
44562381122;10
41118901701;3
78558303063;5
22414837842;9
85517221065;19
74493784005;13
30771592130;3
24417150103;9
91449769785;6
85122486528;18
18772843788;21
98288584184;7
55762741929;2
33031423444;10
74171542042;9
88704396558;2
67157084572;20
22857778026;8
76012290577;16
18889381932;2
18216935453;9
10373318993;9
31951881050;4
10538551114;10
98113884479;4
71352078145;14
57796856755;12
62263345625;12
14149524145;4
64446135410;3
71171131988;10
87523953461;1
40470760241;10
94964243740;7
35898941231;21
62834287888;10
56698418502;5
72941344335;3
48664587126;12
63033339392;10
27096024794;8
42464150903;9
56618890934;1
15460299594;6
20630659032;17
57376676656;16
24092603851;17
10580486968;7
96083655333;3
73546788167;2
58147453254;12
33155334239;5
97800570408;6
89714518831;5
47480327055;26
20725607745;1
66263221523;8
74823316273;5
12310494172;11
65766881594;24
22633100530;9
65597599514;4
